filename,expected,source,notes
# expected must be one of: AI, REAL, UNKNOWN
_smoke_clip.mp4,UNKNOWN,generated by claude,plumbing test - NOT real media
_smoke_pattern.png,UNKNOWN,generated by claude,plumbing test - NOT real media
_smoke_tagged.jpg,UNKNOWN,generated by claude,plumbing test - NOT real media
"ChatGPT Image Aug 31, 2026, 09_56_45 PM.png",AI,,
create_an_image_of_a_23_year_old_guy_sitting_in_starbucks_li (1).jpg,AI,,
create_an_image_of_a_23_year_old_guy_sitting_in_starbucks_li.jpg,AI,,
Firefly_Gemini Flash_make a image with a boy giving a pose with sunset background  135242.png,AI,,
IMG_5019.jpg,REAL,own camera,"camera original, converted HEIC->JPEG with EXIF preserved (iPhone 15 Pro)"
IMG_5025.jpg,REAL,own camera,"camera original, converted HEIC->JPEG with EXIF preserved (iPhone 15 Pro)"
IMG_5526.jpg,REAL,own camera,"camera original, converted HEIC->JPEG with EXIF preserved (iPhone 15 Pro)"
IMG_5528.jpg,REAL,own camera,"camera original, converted HEIC->JPEG with EXIF preserved (iPhone 15 Pro)"
WhatsApp Image 2026-08-31 at 9.47.22 PM.jpeg,REAL,,sent via WhatsApp - EXIF expected to be stripped
WhatsApp Image 2026-08-31 at 9.47.23 PM (1).jpeg,REAL,,sent via WhatsApp - EXIF expected to be stripped
WhatsApp Image 2026-08-31 at 9.47.23 PM (2).jpeg,REAL,,sent via WhatsApp - EXIF expected to be stripped
WhatsApp Image 2026-08-31 at 9.47.23 PM.jpeg,REAL,,sent via WhatsApp - EXIF expected to be stripped
WhatsApp Video 2026-08-31 at 10.33.01 PM.mp4,REAL,,sent via WhatsApp - EXIF expected to be stripped
