filename,expected,media_type,verdict,confidence,model,metadata,frequency,ms,error
_smoke_clip.mp4,UNKNOWN,video,LIKELY_REAL,0.0248,0.0310,,0.0000,23027,
_smoke_pattern.png,UNKNOWN,image,LIKELY_REAL,0.0008,0.0010,,0.0000,3763,
_smoke_tagged.jpg,UNKNOWN,image,LIKELY_REAL,0.2558,0.0096,1.0000,0.0000,3697,
"ChatGPT Image Aug 31, 2026, 09_56_45 PM.png",AI,image,AI_GENERATED,0.8434,0.9514,1.0000,0.1502,3998,
create_an_image_of_a_23_year_old_guy_sitting_in_starbucks_li (1).jpg,AI,image,AI_GENERATED,0.9529,0.9996,1.0000,0.6877,3819,
create_an_image_of_a_23_year_old_guy_sitting_in_starbucks_li.jpg,AI,image,AI_GENERATED,0.9447,0.9998,1.0000,0.6324,3711,
Firefly_Gemini Flash_make a image with a boy giving a pose with sunset background  135242.png,AI,image,AI_GENERATED,0.8872,0.9980,1.0000,0.2560,4070,
IMG_5019.jpg,REAL,image,LIKELY_REAL,0.0174,0.0062,0.0000,0.0909,6095,
IMG_5025.jpg,REAL,image,LIKELY_REAL,0.0008,0.0000,0.0000,0.0055,5783,
IMG_5526.jpg,REAL,image,LIKELY_REAL,0.0466,0.0006,0.0000,0.3081,5024,
IMG_5528.jpg,REAL,image,LIKELY_REAL,0.0286,0.0018,0.0000,0.1833,4901,
WhatsApp Image 2026-08-31 at 9.47.22 PM.jpeg,REAL,image,LIKELY_REAL,0.0388,0.0018,,0.1866,3975,
WhatsApp Image 2026-08-31 at 9.47.23 PM (1).jpeg,REAL,image,LIKELY_REAL,0.0,0.0000,,0.0000,3939,
WhatsApp Image 2026-08-31 at 9.47.23 PM (2).jpeg,REAL,image,LIKELY_REAL,0.0212,0.0044,,0.0885,4031,
WhatsApp Image 2026-08-31 at 9.47.23 PM.jpeg,REAL,image,LIKELY_REAL,0.0963,0.0043,,0.4641,4065,
WhatsApp Video 2026-08-31 at 10.33.01 PM.mp4,REAL,video,LIKELY_REAL,0.0276,0.0038,,0.1229,50906,
